,Price,Neighbourhood,City,Bedrooms,Bathrooms,Size (sq feet)
0,"
$2,498,000
",West Newton,Surrey,9 bd,9 ba,4858 sf
1,"
$799,900
",Coquitlam West,Coquitlam,3 bd,2 ba,1013 sf
2,"
$600,000
",Willoughby Heights,Langley,1 bd,1 ba,600 sf
3,"
$3,488,000
",White Rock,Surrey,4 bd,6 ba,4776 sf
4,"
$1,250,000
",Yaletown,Vancouver,1 bd,1 ba,769 sf
5,"
$1,899,900
",Panorama Ridge,Surrey,5 bd,3 ba,2950 sf
6,"
$6,198,000
",West Bay,West Vancouver,3 bd,4 ba,4043 sf
7,"
$749,000
",Brighouse South,Richmond,2 bd,2 ba,885 sf
8,"
$820,000
",Guildford,Surrey,3 bd,3 ba,1435 sf
9,"
$500,000
",Whalley,Surrey,1 bd,1 ba,483 sf
10,"
$2,499,000
",Montecito,Burnaby,6 bd,5 ba,4698 sf
11,"
$915,000
",Highgate,Burnaby,3 bd,3 ba,1492 sf
12,"
$1,648,800
",Panorama Ridge,Surrey,4 bd,3 ba,2660 sf
13,"
$998,000
",West Cambie,Richmond,2 bd,3 ba,1101 sf
14,"
$849,800
",Steveston South,Richmond,1 bd,1 ba,766 sf
15,"
$799,900
",Clayton,Surrey,4 bd,3 ba,1756 sf
16,"
$4,279,999
",Oakridge,Vancouver,6 bd,4 ba,4287 sf
17,"
$2,398,000
",Willingdon Heights,Burnaby,6 bd,5 ba,3400 sf
18,"
$960,000
",Mount Pleasant East,Vancouver,2 bd,2 ba,785 sf
19,"
$2,499,000
",Silver Valley,Maple Ridge,5 bd,3 ba,3827 sf
20,"
$1,350,000
",Oxford Heights,Port Coquitlam,4 bd,3 ba,2265 sf
21,"
$639,000
",Metrotown,Burnaby,1 bd,1 ba,525 sf
22,"
$1,299,888
",Willoughby Heights,Langley,5 bd,5 ba,2425 sf
23,"
$1,089,900
",East Central Maple Ridge,Maple Ridge,4 bd,3 ba,2208 sf
24,"
$459,800
",West Central Maple Ridge,Maple Ridge,1 bd,1 ba,625 sf
25,"
$1,689,000
",Yaletown,Vancouver,2 bd,2 ba,1047 sf
26,"
$529,000
",Langley City,Langley,2 bd,2 ba,844 sf
27,"
$688,800
",East Newton,Surrey,2 bd,2 ba,1777 sf
28,"
$799,000
",New Westminster Quay,New Westminster,2 bd,2 ba,891 sf
29,"
$1,599,900
",White Rock,Surrey,3 bd,3 ba,2700 sf
30,"
$1,299,000
",Guildford,Surrey,4 bd,3 ba,2443 sf
31,"
$4,000,000
",West End,Vancouver,2 bd,3 ba,2342 sf
32,"
$1,399,000
",Clayton,Surrey,6 bd,5 ba,2479 sf
33,"
$697,000
",Willoughby Heights,Langley,3 bd,2 ba,1061 sf
34,"
$524,900
",West Central Maple Ridge,Maple Ridge,2 bd,2 ba,797 sf
35,"
$418,000
",Guildford,Surrey,1 bd,1 ba,623 sf
36,"
$659,900
",Grandview East,Vancouver,1 bd,1 ba,520 sf
37,"
$690,000
",Port Moody Centre,Port Moody,2 bd,2 ba,776 sf
38,"
$5,980,000
",Mackenzie Heights,Vancouver,5 bd,7 ba,4442 sf
39,"
$1,398,888
",King George Corridor,Surrey,4 bd,4 ba,2392 sf
40,"
$2,788,800
",Horseshoe Bay,West Vancouver,2 bd,2 ba,1351 sf
41,"
$999,000
",Brookswood,Langley,3 bd,1 ba,1182 sf
42,"
$264,900
",Port Moody Centre,Port Moody,1 bd,1 ba,698 sf
43,"
$825,000
",Collingwood,Vancouver,2 bd,2 ba,855 sf
44,"
$689,900
",White Rock,Surrey,2 bd,2 ba,1016 sf
45,"
$7,200,000
",Campbell Valley,Langley,4 bd,4 ba,4543 sf
46,"
$999,000
",Willoughby Heights,Langley,4 bd,4 ba,1701 sf
47,"
$999,000
",Fleetwood Tynehead,Surrey,3 bd,4 ba,2321 sf
48,"
$510,000
",Central Lonsdale,North Vancouver,1 bd,1 ba,473 sf
49,"
$738,000
",New Horizons,Coquitlam,2 bd,2 ba,827 sf
50,"
$310,000
",Langley City,Langley,1 bd,1 ba,446 sf
51,"
$2,049,879
",Panorama Ridge,Surrey,6 bd,4 ba,2812 sf
52,"
$2,099,888
",Sullivan Station,Surrey,6 bd,6 ba,3139 sf
53,"
$525,000
",Langley City,Langley,1 bd,1 ba,862 sf
54,"
$749,900
",Deep Cove,North Vancouver,2 bd,2 ba,998 sf
55,"
$1,868,000
",Central Park,Burnaby,4 bd,4 ba,1965 sf
56,"
$365,000
",Guildford,Surrey,1 bd,1 ba,640 sf
57,"
$1,498,000
",Fraser East,Vancouver,3 bd,3 ba,1212 sf
58,"
$1,219,000
",False Creek,Vancouver,2 bd,2 ba,825 sf
59,"
$849,000
",West Central Maple Ridge,Maple Ridge,3 bd,3 ba,1420 sf
60,"
$565,800
",Queen Mary Park,Surrey,1 bd,1 ba,652 sf
61,"
$848,000
",Yaletown,Vancouver,1 bd,2 ba,795 sf
62,"
$859,000
",Clayton,Surrey,3 bd,3 ba,1387 sf
63,"
$3,880,000
",Marpole,Vancouver,7 bd,6 ba,4233 sf
64,"
$1,488,000
",Mclennan North,Richmond,3 bd,3 ba,1511 sf
65,"
$2,850,000
",Point Grey,Vancouver,6 bd,4 ba,3019 sf
66,"
$659,900
",Tsawwassen Central,Delta,2 bd,2 ba,1138 sf
67,"
$1,849,000
",Sullivan Station,Surrey,6 bd,6 ba,3900 sf
68,"
$4,280,000
",Oakridge,Vancouver,4 bd,2 ba,2066 sf
69,"
$924,900
",Sullivan Station,Surrey,4 bd,4 ba,1600 sf
70,"
$2,880,000
",Queen Mary Park,Surrey,4 bd,2 ba,2016 sf
71,"
$1,158,000
",Granville,Richmond,3 bd,3 ba,1312 sf
72,"
$748,888
",Fraser East,Vancouver,2 bd,2 ba,880 sf
73,"
$419,800
",Walnut Grove,Langley,1 bd,1 ba,716 sf
74,"
$1,075,000
",Sullivan Station,Surrey,4 bd,4 ba,1995 sf
75,"
$2,278,000
",Edmonds,Burnaby,6 bd,5 ba,3063 sf
76,"
$829,900
",Clayton,Surrey,3 bd,3 ba,1304 sf
77,"
$739,000
",Lower Lonsdale,North Vancouver,1 bd,1 ba,788 sf
78,"
$1,579,000
",Fraser East,Vancouver,2 bd,3 ba,1110 sf
79,"
$594,900
",Fairview,Vancouver,1 bd,1 ba,610 sf
80,"
$659,900
",Beach Grove,Delta,2 bd,2 ba,971 sf
81,"
$949,900
",Port Moody Centre,Port Moody,3 bd,2 ba,1133 sf
